ID,0,30,60,90,120,150,180,210,240,270,300,330,360
1,2.79,2.76,2.77,2.89,2.9,2.8,2.84,2.85,2.85,2.82,2.83,3.07,2.8
2,2.79,2.76,2.77,2.89,2.9,2.8,2.84,2.85,2.85,2.82,2.83,3.07,2.8
3,2.79,2.76,2.77,2.89,2.9,2.8,2.84,2.85,2.85,2.82,2.83,3.07,2.8
4,2.79,2.76,2.77,2.89,2.9,2.8,2.84,2.85,2.85,2.82,2.83,3.07,2.8
5,2.79,2.76,2.77,2.89,2.9,2.8,2.84,2.85,2.85,2.82,2.83,3.07,2.8
6,2.79,2.76,2.77,2.89,2.9,2.8,2.84,2.85,2.85,2.82,2.83,3.07,2.8
7,2.79,2.76,2.77,2.89,2.9,2.8,2.84,2.85,2.85,2.82,2.83,3.07,2.8
8,2.79,2.76,2.77,2.89,2.9,2.8,2.84,2.85,2.85,2.82,2.83,3.07,2.8
9,2.79,2.76,2.77,2.89,2.9,2.8,2.84,2.85,2.85,2.82,2.83,3.07,2.8
10,2.79,2.76,2.77,2.89,2.9,2.8,2.84,2.85,2.85,2.82,2.83,3.07,2.8
11,2.79,2.76,2.77,2.89,2.9,2.8,2.84,2.85,2.85,2.82,2.83,3.07,2.8
12,2.79,2.76,2.77,2.89,2.9,2.8,2.84,2.85,2.85,2.82,2.83,3.07,2.8
13,2.79,2.76,2.77,2.89,2.9,2.8,2.84,2.85,2.85,2.82,2.83,3.07,2.8
14,2.79,2.76,2.77,2.89,2.9,2.8,2.84,2.85,2.85,2.82,2.83,3.07,2.8
15,2.79,2.76,2.77,2.89,2.9,2.8,2.84,2.85,2.85,2.82,2.83,3.07,2.8
16,2.79,2.76,2.77,2.89,2.9,2.8,2.84,2.85,2.85,2.82,2.83,3.07,2.8
17,2.79,2.76,2.77,2.89,2.9,2.8,2.84,2.85,2.85,2.82,2.83,3.07,2.8
18,2.79,2.76,2.77,2.89,2.9,2.8,2.84,2.85,2.85,2.82,2.83,3.07,2.8
19,2.79,2.76,2.77,2.89,2.9,2.8,2.84,2.85,2.85,2.82,2.83,3.07,2.8
20,2.79,2.76,2.77,2.89,2.9,2.8,2.84,2.85,2.85,2.82,2.83,3.07,2.8
21,2.79,2.76,2.77,2.89,2.9,2.8,2.84,2.85,2.85,2.82,2.83,3.07,2.8
22,2.79,2.76,2.77,2.89,2.9,2.8,2.84,2.85,2.85,2.82,2.83,3.07,2.8
23,2.79,2.76,2.77,2.89,2.9,2.8,2.84,2.85,2.85,2.82,2.83,3.07,2.8
24,2.79,2.76,2.77,2.89,2.9,2.8,2.84,2.85,2.85,2.82,2.83,3.07,2.8
25,2.79,2.76,2.77,2.89,2.9,2.8,2.84,2.85,2.85,2.82,2.83,3.07,2.8
26,2.79,2.76,2.77,2.89,2.9,2.8,2.84,2.85,2.85,2.82,2.83,3.07,2.8
27,2.79,2.76,2.77,2.89,2.9,2.8,2.84,2.85,2.85,2.82,2.83,3.07,2.8
28,2.79,2.76,2.77,2.89,2.9,2.8,2.84,2.85,2.85,2.82,2.83,3.07,2.8
29,2.79,2.76,2.77,2.89,2.9,2.8,2.84,2.85,2.85,2.82,2.83,3.07,2.8
30,2.79,2.76,2.77,2.89,2.9,2.8,2.84,2.85,2.85,2.82,2.83,3.07,2.8
