ID,0,30,60,90,120,150,180,210,240,270,300,330,360
1,2.35,2.28,2.28,2.36,2.46,2.43,2.43,2.43,2.43,2.43,2.38,2.31,2.39
2,2.35,2.28,2.28,2.36,2.46,2.43,2.43,2.43,2.43,2.43,2.38,2.31,2.39
3,2.35,2.28,2.28,2.36,2.46,2.43,2.43,2.43,2.43,2.43,2.38,2.31,2.39
4,2.35,2.28,2.28,2.36,2.46,2.43,2.43,2.43,2.43,2.43,2.38,2.31,2.39
5,2.35,2.28,2.28,2.36,2.46,2.43,2.43,2.43,2.43,2.43,2.38,2.31,2.39
6,2.35,2.28,2.28,2.36,2.46,2.43,2.43,2.43,2.43,2.43,2.38,2.31,2.39
7,2.35,2.28,2.28,2.36,2.46,2.43,2.43,2.43,2.43,2.43,2.38,2.31,2.39
8,2.35,2.28,2.28,2.36,2.46,2.43,2.43,2.43,2.43,2.43,2.38,2.31,2.39
9,2.35,2.28,2.28,2.36,2.46,2.43,2.43,2.43,2.43,2.43,2.38,2.31,2.39
10,2.35,2.28,2.28,2.36,2.46,2.43,2.43,2.43,2.43,2.43,2.38,2.31,2.39
11,2.35,2.28,2.28,2.36,2.46,2.43,2.43,2.43,2.43,2.43,2.38,2.31,2.39
12,2.35,2.28,2.28,2.36,2.46,2.43,2.43,2.43,2.43,2.43,2.38,2.31,2.39
13,2.35,2.28,2.28,2.36,2.46,2.43,2.43,2.43,2.43,2.43,2.38,2.31,2.39
14,2.35,2.28,2.28,2.36,2.46,2.43,2.43,2.43,2.43,2.43,2.38,2.31,2.39
15,2.35,2.28,2.28,2.36,2.46,2.43,2.43,2.43,2.43,2.43,2.38,2.31,2.39
16,2.35,2.28,2.28,2.36,2.46,2.43,2.43,2.43,2.43,2.43,2.38,2.31,2.39
17,2.35,2.28,2.28,2.36,2.46,2.43,2.43,2.43,2.43,2.43,2.38,2.31,2.39
18,2.35,2.28,2.28,2.36,2.46,2.43,2.43,2.43,2.43,2.43,2.38,2.31,2.39
19,2.35,2.28,2.28,2.36,2.46,2.43,2.43,2.43,2.43,2.43,2.38,2.31,2.39
20,2.35,2.28,2.28,2.36,2.46,2.43,2.43,2.43,2.43,2.43,2.38,2.31,2.39
21,2.35,2.28,2.28,2.36,2.46,2.43,2.43,2.43,2.43,2.43,2.38,2.31,2.39
22,2.35,2.28,2.28,2.36,2.46,2.43,2.43,2.43,2.43,2.43,2.38,2.31,2.39
23,2.35,2.28,2.28,2.36,2.46,2.43,2.43,2.43,2.43,2.43,2.38,2.31,2.39
24,2.35,2.28,2.28,2.36,2.46,2.43,2.43,2.43,2.43,2.43,2.38,2.31,2.39
25,2.35,2.28,2.28,2.36,2.46,2.43,2.43,2.43,2.43,2.43,2.38,2.31,2.39
26,2.35,2.28,2.28,2.36,2.46,2.43,2.43,2.43,2.43,2.43,2.38,2.31,2.39
27,2.35,2.28,2.28,2.36,2.46,2.43,2.43,2.43,2.43,2.43,2.38,2.31,2.39
28,2.35,2.28,2.28,2.36,2.46,2.43,2.43,2.43,2.43,2.43,2.38,2.31,2.39
29,2.35,2.28,2.28,2.36,2.46,2.43,2.43,2.43,2.43,2.43,2.38,2.31,2.39
30,2.35,2.28,2.28,2.36,2.46,2.43,2.43,2.43,2.43,2.43,2.38,2.31,2.39
