ID,0,30,60,90,120,150,180,210,240,270,300,330,360
1,3.3,3.23,3.21,3.29,3.38,3.32,3.36,3.42,3.29,3.38,3.37,3.18,3.34
2,3.3,3.23,3.21,3.29,3.38,3.32,3.36,3.42,3.29,3.38,3.37,3.18,3.34
3,3.3,3.23,3.21,3.29,3.38,3.32,3.36,3.42,3.29,3.38,3.37,3.18,3.34
4,3.3,3.23,3.21,3.29,3.38,3.32,3.36,3.42,3.29,3.38,3.37,3.18,3.34
5,3.3,3.23,3.21,3.29,3.38,3.32,3.36,3.42,3.29,3.38,3.37,3.18,3.34
6,3.3,3.23,3.21,3.29,3.38,3.32,3.36,3.42,3.29,3.38,3.37,3.18,3.34
7,3.3,3.23,3.21,3.29,3.38,3.32,3.36,3.42,3.29,3.38,3.37,3.18,3.34
8,3.3,3.23,3.21,3.29,3.38,3.32,3.36,3.42,3.29,3.38,3.37,3.18,3.34
9,3.3,3.23,3.21,3.29,3.38,3.32,3.36,3.42,3.29,3.38,3.37,3.18,3.34
10,3.3,3.23,3.21,3.29,3.38,3.32,3.36,3.42,3.29,3.38,3.37,3.18,3.34
11,3.3,3.23,3.21,3.29,3.38,3.32,3.36,3.42,3.29,3.38,3.37,3.18,3.34
12,3.3,3.23,3.21,3.29,3.38,3.32,3.36,3.42,3.29,3.38,3.37,3.18,3.34
13,3.3,3.23,3.21,3.29,3.38,3.32,3.36,3.42,3.29,3.38,3.37,3.18,3.34
14,3.3,3.23,3.21,3.29,3.38,3.32,3.36,3.42,3.29,3.38,3.37,3.18,3.34
15,3.3,3.23,3.21,3.29,3.38,3.32,3.36,3.42,3.29,3.38,3.37,3.18,3.34
16,3.3,3.23,3.21,3.29,3.38,3.32,3.36,3.42,3.29,3.38,3.37,3.18,3.34
17,3.3,3.23,3.21,3.29,3.38,3.32,3.36,3.42,3.29,3.38,3.37,3.18,3.34
18,3.3,3.23,3.21,3.29,3.38,3.32,3.36,3.42,3.29,3.38,3.37,3.18,3.34
19,3.3,3.23,3.21,3.29,3.38,3.32,3.36,3.42,3.29,3.38,3.37,3.18,3.34
20,3.3,3.23,3.21,3.29,3.38,3.32,3.36,3.42,3.29,3.38,3.37,3.18,3.34
21,3.3,3.23,3.21,3.29,3.38,3.32,3.36,3.42,3.29,3.38,3.37,3.18,3.34
22,3.3,3.23,3.21,3.29,3.38,3.32,3.36,3.42,3.29,3.38,3.37,3.18,3.34
23,3.3,3.23,3.21,3.29,3.38,3.32,3.36,3.42,3.29,3.38,3.37,3.18,3.34
24,3.3,3.23,3.21,3.29,3.38,3.32,3.36,3.42,3.29,3.38,3.37,3.18,3.34
25,3.3,3.23,3.21,3.29,3.38,3.32,3.36,3.42,3.29,3.38,3.37,3.18,3.34
26,3.3,3.23,3.21,3.29,3.38,3.32,3.36,3.42,3.29,3.38,3.37,3.18,3.34
27,3.3,3.23,3.21,3.29,3.38,3.32,3.36,3.42,3.29,3.38,3.37,3.18,3.34
28,3.3,3.23,3.21,3.29,3.38,3.32,3.36,3.42,3.29,3.38,3.37,3.18,3.34
29,3.3,3.23,3.21,3.29,3.38,3.32,3.36,3.42,3.29,3.38,3.37,3.18,3.34
30,3.3,3.23,3.21,3.29,3.38,3.32,3.36,3.42,3.29,3.38,3.37,3.18,3.34
