ID,0,30,60,90,120,150,180,210,240,270,300,330,360
1,5.8,5.8,5.76,5.81,5.91,5.92,6.02,5.97,5.84,5.87,5.86,6.29,5.81
2,5.8,5.8,5.76,5.81,5.91,5.92,6.02,5.97,5.84,5.87,5.86,6.29,5.81
3,5.8,5.8,5.76,5.81,5.91,5.92,6.02,5.97,5.84,5.87,5.86,6.29,5.81
4,5.8,5.8,5.76,5.81,5.91,5.92,6.02,5.97,5.84,5.87,5.86,6.29,5.81
5,5.8,5.8,5.76,5.81,5.91,5.92,6.02,5.97,5.84,5.87,5.86,6.29,5.81
6,5.8,5.8,5.76,5.81,5.91,5.92,6.02,5.97,5.84,5.87,5.86,6.29,5.81
7,5.8,5.8,5.76,5.81,5.91,5.92,6.02,5.97,5.84,5.87,5.86,6.29,5.81
8,5.8,5.8,5.76,5.81,5.91,5.92,6.02,5.97,5.84,5.87,5.86,6.29,5.81
9,5.8,5.8,5.76,5.81,5.91,5.92,6.02,5.97,5.84,5.87,5.86,6.29,5.81
10,5.8,5.8,5.76,5.81,5.91,5.92,6.02,5.97,5.84,5.87,5.86,6.29,5.81
11,5.8,5.8,5.76,5.81,5.91,5.92,6.02,5.97,5.84,5.87,5.86,6.29,5.81
12,5.8,5.8,5.76,5.81,5.91,5.92,6.02,5.97,5.84,5.87,5.86,6.29,5.81
13,5.8,5.8,5.76,5.81,5.91,5.92,6.02,5.97,5.84,5.87,5.86,6.29,5.81
14,5.8,5.8,5.76,5.81,5.91,5.92,6.02,5.97,5.84,5.87,5.86,6.29,5.81
15,5.8,5.8,5.76,5.81,5.91,5.92,6.02,5.97,5.84,5.87,5.86,6.29,5.81
16,5.8,5.8,5.76,5.81,5.91,5.92,6.02,5.97,5.84,5.87,5.86,6.29,5.81
17,5.8,5.8,5.76,5.81,5.91,5.92,6.02,5.97,5.84,5.87,5.86,6.29,5.81
18,5.8,5.8,5.76,5.81,5.91,5.92,6.02,5.97,5.84,5.87,5.86,6.29,5.81
19,5.8,5.8,5.76,5.81,5.91,5.92,6.02,5.97,5.84,5.87,5.86,6.29,5.81
20,5.8,5.8,5.76,5.81,5.91,5.92,6.02,5.97,5.84,5.87,5.86,6.29,5.81
21,5.8,5.8,5.76,5.81,5.91,5.92,6.02,5.97,5.84,5.87,5.86,6.29,5.81
22,5.8,5.8,5.76,5.81,5.91,5.92,6.02,5.97,5.84,5.87,5.86,6.29,5.81
23,5.8,5.8,5.76,5.81,5.91,5.92,6.02,5.97,5.84,5.87,5.86,6.29,5.81
24,5.8,5.8,5.76,5.81,5.91,5.92,6.02,5.97,5.84,5.87,5.86,6.29,5.81
25,5.8,5.8,5.76,5.81,5.91,5.92,6.02,5.97,5.84,5.87,5.86,6.29,5.81
26,5.8,5.8,5.76,5.81,5.91,5.92,6.02,5.97,5.84,5.87,5.86,6.29,5.81
27,5.8,5.8,5.76,5.81,5.91,5.92,6.02,5.97,5.84,5.87,5.86,6.29,5.81
28,5.8,5.8,5.76,5.81,5.91,5.92,6.02,5.97,5.84,5.87,5.86,6.29,5.81
29,5.8,5.8,5.76,5.81,5.91,5.92,6.02,5.97,5.84,5.87,5.86,6.29,5.81
30,5.8,5.8,5.76,5.81,5.91,5.92,6.02,5.97,5.84,5.87,5.86,6.29,5.81
