ID,1m,1.5m,2m,2.5m,3m,3.5m,4m,4.5m,5m
1,278.98,,,,,,,,
2,278.98,,,,,,,,
3,278.98,,,,,,,,
4,278.98,,,,,,,,
5,278.98,,,,,,,,
6,278.98,,,,,,,,
7,278.98,,,,,,,,
8,278.98,,,,,,,,
9,278.98,,,,,,,,
10,278.98,,,,,,,,
11,278.98,,,,,,,,
12,278.98,,,,,,,,
13,278.98,,,,,,,,
14,278.98,,,,,,,,
15,278.98,,,,,,,,
16,278.98,,,,,,,,
17,278.98,,,,,,,,
18,278.98,,,,,,,,
19,278.98,,,,,,,,
20,278.98,,,,,,,,
21,278.98,,,,,,,,
22,278.98,,,,,,,,
23,278.98,,,,,,,,
24,278.98,,,,,,,,
25,278.98,,,,,,,,
26,278.98,,,,,,,,
27,278.98,,,,,,,,
28,267.87,,,,,,,,
29,267.87,,,,,,,,
30,267.87,,,,,,,,
