ID,0,RX0,30,RX30,60,RX60,90,RX90,120,RX120,150,RX150,180,RX180,210,RX210,240,RX240,270,RX270,300,RX300,330,RX330,360,RX360
1,4.25,-81.85,4.31,-81.71,4.33,-84.11,4.33,-82.25,4.32,-88.48,4.33,-81.51,4.37,-83.51,4.39,-82.35,4.36,-88.17,4.34,-90.62,4.39,-83.95,4.23,-82.77,4.25,-82.98
2,4.25,-81.85,4.31,-81.71,4.33,-84.11,4.33,-82.25,4.32,-88.48,4.33,-81.51,4.37,-83.51,4.39,-82.35,4.36,-88.17,4.34,-90.62,4.39,-83.95,4.23,-82.77,4.25,-82.98
3,4.25,-81.85,4.31,-81.71,4.33,-84.11,4.33,-82.25,4.32,-88.48,4.33,-81.51,4.37,-83.51,4.39,-82.35,4.36,-88.17,4.34,-90.62,4.39,-83.95,4.23,-82.77,4.25,-82.98
4,4.25,-81.85,4.31,-81.71,4.33,-84.11,4.33,-82.25,4.32,-88.48,4.33,-81.51,4.37,-83.51,4.39,-82.35,4.36,-88.17,4.34,-90.62,4.39,-83.95,4.23,-82.77,4.25,-82.98
5,4.25,-81.85,4.31,-81.71,4.33,-84.11,4.33,-82.25,4.32,-88.48,4.33,-81.51,4.37,-83.51,4.39,-82.35,4.36,-88.17,4.34,-90.62,4.39,-83.95,4.23,-82.77,4.25,-82.98
6,4.25,-81.85,4.31,-81.71,4.33,-84.11,4.33,-82.25,4.32,-88.48,4.33,-81.51,4.37,-83.51,4.39,-82.35,4.36,-88.17,4.34,-90.62,4.39,-83.95,4.23,-82.77,4.25,-82.98
7,4.25,-81.85,4.31,-81.71,4.33,-84.11,4.33,-82.25,4.32,-88.48,4.33,-81.51,4.37,-83.51,4.39,-82.35,4.36,-88.17,4.34,-90.62,4.39,-83.95,4.23,-82.77,4.25,-82.98
8,4.25,-81.85,4.31,-81.71,4.33,-84.11,4.33,-82.25,4.32,-88.48,4.33,-81.51,4.37,-83.51,4.39,-82.35,4.36,-88.17,4.34,-90.62,4.39,-83.95,4.23,-82.77,4.25,-82.98
9,4.25,-81.85,4.31,-81.71,4.33,-84.11,4.33,-82.25,4.32,-88.48,4.33,-81.51,4.37,-83.51,4.39,-82.35,4.36,-88.17,4.34,-90.62,4.39,-83.95,4.23,-82.77,4.25,-82.98
10,4.25,-81.85,4.31,-81.71,4.33,-84.11,4.33,-82.25,4.32,-88.48,4.33,-81.51,4.37,-83.51,4.39,-82.35,4.36,-88.17,4.34,-90.62,4.39,-83.95,4.23,-82.77,4.25,-82.98
11,4.25,-81.85,4.31,-81.71,4.33,-84.11,4.33,-82.25,4.32,-88.48,4.33,-81.51,4.37,-83.51,4.39,-82.35,4.36,-88.17,4.34,-90.62,4.39,-83.95,4.23,-82.77,4.25,-82.98
12,4.25,-81.85,4.31,-81.71,4.33,-84.11,4.33,-82.25,4.32,-88.48,4.33,-81.51,4.37,-83.51,4.39,-82.35,4.36,-88.17,4.34,-90.62,4.39,-83.95,4.23,-82.77,4.25,-82.98
13,4.25,-81.85,4.31,-81.71,4.33,-84.11,4.33,-82.25,4.32,-88.48,4.33,-81.51,4.37,-83.51,4.39,-82.35,4.36,-88.17,4.34,-90.62,4.39,-83.95,4.23,-82.77,4.25,-82.98
14,4.25,-81.85,4.31,-81.71,4.33,-84.11,4.33,-82.25,4.32,-88.48,4.33,-81.51,4.37,-83.51,4.39,-82.35,4.36,-88.17,4.34,-90.62,4.39,-83.95,4.23,-82.77,4.25,-82.98
15,4.25,-81.85,4.31,-81.71,4.33,-84.11,4.33,-82.25,4.32,-88.48,4.33,-81.51,4.37,-83.51,4.39,-82.35,4.36,-88.17,4.34,-90.62,4.39,-83.95,4.23,-82.77,4.25,-82.98
