ID,0,RX0,30,RX30,60,RX60,90,RX90,120,RX120,150,RX150,180,RX180,210,RX210,240,RX240,270,RX270,300,RX300,330,RX330,360,RX360
1,4.84,-83.27,4.8,-85.94,4.78,-86.37,4.75,-90.0,4.77,-90.47,8.67,NaN,8.67,NaN,8.67,NaN,8.67,NaN,8.67,NaN,,,,,4.8,-84.78
2,4.84,-83.27,4.8,-85.94,4.78,-86.37,4.75,-90.0,4.77,-90.47,8.67,NaN,8.67,NaN,8.67,NaN,8.67,NaN,8.67,NaN,,,,,4.8,-84.78
3,4.84,-83.27,4.8,-85.94,4.78,-86.37,4.75,-90.0,4.77,-90.47,8.67,NaN,8.67,NaN,8.67,NaN,8.67,NaN,8.67,NaN,,,,,4.8,-84.78
4,4.84,-83.27,4.8,-85.94,4.78,-86.37,4.75,-90.0,4.77,-90.47,8.67,NaN,8.67,NaN,8.67,NaN,8.67,NaN,8.67,NaN,,,,,4.8,-84.78
5,4.84,-83.27,4.8,-85.94,4.78,-86.37,4.75,-90.0,4.77,-90.47,8.67,NaN,8.67,NaN,8.67,NaN,8.67,NaN,8.67,NaN,,,,,4.8,-84.78
6,4.84,-83.27,4.8,-85.94,4.78,-86.37,4.75,-90.0,4.77,-90.47,8.67,NaN,8.67,NaN,8.67,NaN,8.67,NaN,8.67,NaN,,,,,4.8,-84.78
7,4.84,-83.27,4.8,-85.94,4.78,-86.37,4.75,-90.0,4.77,-90.47,8.67,NaN,8.67,NaN,8.67,NaN,8.67,NaN,8.67,NaN,,,,,4.8,-84.78
8,4.84,-83.27,4.8,-85.94,4.78,-86.37,4.75,-90.0,4.77,-90.47,8.67,NaN,8.67,NaN,8.67,NaN,8.67,NaN,8.67,NaN,,,,,4.8,-84.78
9,4.84,-83.27,4.8,-85.94,4.78,-86.37,4.75,-90.0,4.77,-90.47,8.67,NaN,8.67,NaN,8.67,NaN,8.67,NaN,8.67,NaN,,,,,4.8,-84.78
10,4.84,-83.27,4.8,-85.94,4.78,-86.37,4.75,-90.0,4.77,-90.47,8.67,NaN,8.67,NaN,8.67,NaN,8.67,NaN,8.67,NaN,,,,,4.8,-84.78
11,4.84,-83.27,4.8,-85.94,4.78,-86.37,4.75,-90.0,4.77,-90.47,8.67,NaN,8.67,NaN,8.67,NaN,8.67,NaN,8.67,NaN,,,,,4.8,-84.78
12,4.84,-83.27,4.8,-85.94,4.78,-86.37,4.75,-90.0,4.77,-90.47,8.67,NaN,8.67,NaN,8.67,NaN,8.67,NaN,8.67,NaN,,,,,4.8,-84.78
13,4.84,-83.27,4.8,-85.94,4.78,-86.37,4.75,-90.0,4.77,-90.47,8.67,NaN,8.67,NaN,8.67,NaN,8.67,NaN,8.67,NaN,,,,,4.8,-84.78
14,4.84,-83.27,4.8,-85.94,4.78,-86.37,4.75,-90.0,4.77,-90.47,8.67,NaN,8.67,NaN,8.67,NaN,8.67,NaN,8.67,NaN,,,,,4.8,-84.78
15,4.84,-83.27,4.8,-85.94,4.78,-86.37,4.75,-90.0,4.77,-90.47,8.67,NaN,8.67,NaN,8.67,NaN,8.67,NaN,8.67,NaN,,,,,4.8,-84.78
16,4.84,-83.27,4.8,-85.94,4.78,-86.37,4.75,-90.0,4.77,-90.47,8.67,NaN,8.67,NaN,8.67,NaN,8.67,NaN,8.67,NaN,,,,,4.8,-84.78
17,4.84,-83.27,4.8,-85.94,4.78,-86.37,4.75,-90.0,4.77,-90.47,8.67,NaN,8.67,NaN,8.67,NaN,8.67,NaN,8.67,NaN,,,,,4.8,-84.78
18,4.84,-83.27,4.8,-85.94,4.78,-86.37,4.75,-90.0,4.77,-90.47,8.67,NaN,8.67,NaN,8.67,NaN,8.67,NaN,8.67,NaN,,,,,4.8,-84.78
19,4.84,-83.27,4.8,-85.94,4.78,-86.37,4.75,-90.0,4.77,-90.47,8.67,NaN,8.67,NaN,8.67,NaN,8.67,NaN,8.67,NaN,,,,,4.8,-84.78
20,4.84,-83.27,4.8,-85.94,4.78,-86.37,4.75,-90.0,4.77,-90.47,8.67,NaN,8.67,NaN,8.67,NaN,8.67,NaN,8.67,NaN,,,,,4.8,-84.78
21,4.84,-83.27,4.8,-85.94,4.78,-86.37,4.75,-90.0,4.77,-90.47,8.67,NaN,8.67,NaN,8.67,NaN,8.67,NaN,8.67,NaN,,,,,4.8,-84.78
